flex0,flex1,flex2,flex3,flex4
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1003,1014,1011,1003,1006
1003,1014,1011,1003,1006
1003,1014,1011,1003,1006
1003,1014,1011,1004,1006
1003,1014,1011,1004,1006
1003,1014,1011,1004,1006
1004,1014,1011,1004,1006
1004,1014,1011,1004,1006
1004,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1005,1015,1011,1004,1006
1006,1015,1011,1004,1006
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1004,1007
1006,1015,1011,1005,1007
1006,1015,1011,1005,1007
1007,1015,1011,1005,1007
1008,1015,1011,1005,1007
1009,1015,1011,1005,1007
1010,1015,1011,1005,1007
1011,1015,1011,1005,1007
1012,1015,1011,1006,1007
1013,1015,1011,1006,1007
1014,1015,1011,1006,1007
1015,1015,1011,1006,1007
1016,1015,1011,1006,1008
1017,1015,1011,1006,1008
1018,1015,1011,1006,1008
1019,1015,1012,1006,1008
